State,YEAR,Less_than_9th_ grade,9th_to_12th_grade_no_diploma,High_school_graduate_(includes_equivalency),"Some_college,_no_degree",Associates_degree,Bachelors_degree,Graduate_or_professional_degree,Population
Alabama,2019,130320,302753,1039241,700473,301914,547975,337382,3360058
Alaska,2019,10424,20666,139156,124261,43394,89583,56574,484058
Arizona,2019,252459,360539,1170685,1236845,431854,931038,561120,4944540
Arkansas,2019,94376,160617,710306,444052,151738,307185,168182,2036456
California,2019,2346235,1955278,5546711,5542372,2118792,5889724,3538760,26937872
Colorado,2019,127702,174518,836590,805570,334961,1057825,637777,3974943
Connecticut,2019,99132,132707,668361,410972,190700,549166,445382,2496420
Delaware,2019,23925,42597,207642,128063,56885,134287,93912,687311
Florida,2019,712764,1081871,4396122,3001381,1538727,2982643,1770994,15484502
Georgia,2019,319929,536096,1939945,1414554,568130,1410395,891173,7080222
Hawaii,2019,36278,39700,273421,205964,106096,219979,115230,996668
Idaho,2019,34969,64937,305274,304578,124584,220189,116466,1170997
Illinois,2019,388348,494289,2255611,1737416,710058,1886240,1222732,8694694
Indiana,2019,162057,306026,1526825,896654,397627,777771,435055,4502015
Iowa,2019,57894,98587,658822,433870,251578,420199,202054,2123004
Kansas,2019,63799,93958,504035,430549,173251,414851,237638,1918081
Kentucky,2019,154759,235894,1012643,619035,260188,453040,312883,3048442
Louisiana,2019,138644,302200,1066026,646746,202310,503947,280328,3140201
Maine,2019,20783,46531,311108,184723,99008,205722,123277,991152
Maryland,2019,168321,233831,1030636,753547,287293,911781,798449,4183858
Massachusetts,2019,203412,217529,1158066,729016,360810,1197208,984535,4850576
Michigan,2019,186035,410252,2005981,1572770,648794,1252685,818110,6894627
Minnesota,2019,103730,141960,939997,785721,442578,942830,490396,3847212
Mississippi,2019,91377,199540,598609,440939,207448,270712,171039,1979664
Missouri,2019,122379,269436,1308859,900486,333721,775808,495473,4206162
Montana,2019,12087,30595,211079,169641,69400,171309,77839,741950
Nebraska,2019,43627,57645,326389,280333,141189,277159,145428,1271770
Nevada,2019,109903,171012,593417,525746,187469,355837,193082,2136466
New Hampshire,2019,19331,46341,275105,174078,96658,224636,143601,979750
New Jersey,2019,287999,311620,1666321,974540,398984,1555781,995984,6191229
New Mexico,2019,82436,118892,376390,324141,129531,221281,173317,1425988
New York,2019,795539,898691,3524192,2075506,1204588,2898440,2267778,13664734
North Carolina,2019,299154,519770,1839042,1480044,727882,1471420,849765,7187077
North Dakota,2019,13284,19735,134432,112811,70716,108527,44870,504375
Ohio,2019,221017,519830,2627758,1622014,702601,1464945,891640,8049805
Oklahoma,2019,100954,202312,825284,596289,207896,447888,238621,2619244
Oregon,2019,98217,160182,687243,741058,269102,627911,404405,2988118
Pennsylvania,2019,273775,538057,3103046,1420062,775694,1761627,1155775,9028036
Rhode Island,2019,37697,42510,212282,129984,64204,156087,104188,746952
South Carolina,2019,132646,283032,1015260,725158,352549,656496,398063,3563204
South Dakota,2019,16462,29832,176644,120476,69831,121231,53553,588029
Tennessee,2019,202493,360324,1480753,953282,348886,845100,503124,4693962
Texas,2019,1436483,1445905,4734422,3976607,1402600,3750797,2025736,18772550
Utah,2019,46767,86293,442206,486888,184777,448109,216552,1911592
Vermont,2019,9568,21290,129254,74468,38706,101015,71257,445558
Virginia,2019,222224,362488,1387610,1107258,468107,1312800,1012270,5872757
Washington,2019,187558,252516,1167347,1199747,527524,1204728,750904,5290324
West Virginia,2019,53606,111199,515431,229877,101267,161686,108020,1281086
Wisconsin,2019,98802,192060,1223392,804271,438381,829878,428501,4015285
Wyoming,2019,6546,14704,117501,93505,44034,73183,40374,389847
Alabama,2018,131592,316587,1026976,721987,288285,536086,315951,3337464
Alaska,2018,12023,20421,137293,129250,39938,89635,56793,485353
Arizona,2018,256545,349389,1159297,1208158,428422,898032,540461,4840304
Arkansas,2018,92515,166471,686867,450668,154143,296422,174853,2021939
California,2018,2396226,1958791,5559362,5589646,2140543,5704852,3466224,26815644
Colorado,2018,127663,189453,812615,815752,329255,1013989,611560,3900287
Connecticut,2018,97719,128535,669967,413974,195971,544028,443202,2493396
Delaware,2018,26223,42858,225797,120182,51648,124178,88814,679700
Florida,2018,708872,1052860,4387954,3015699,1489510,2920459,1726771,15302125
Georgia,2018,308720,557379,1942122,1383144,562774,1362317,861716,6978172
Hawaii,2018,38532,41547,266728,204652,110557,218828,114745,995589
Idaho,2018,40692,63176,318218,292076,113323,213462,102800,1143747
Illinois,2018,403880,510902,2269285,1764774,704851,1833666,1219018,8706376
Indiana,2018,164472,327362,1480040,887129,397824,771811,439255,4467893
Iowa,2018,64952,97697,649269,434337,247997,413442,197098,2104792
Kansas,2018,70905,101128,485753,436532,170965,402368,243775,1911426
Kentucky,2018,160136,240928,990911,631690,261964,442090,311695,3039414
Louisiana,2018,146205,296354,1071772,649675,203074,496634,262019,3125733
Maine,2018,25361,43100,309259,200338,95274,197489,112561,983382
Maryland,2018,155580,240551,1009495,779231,281787,911761,788934,4167339
Massachusetts,2018,211206,235098,1126183,741544,366687,1178868,973142,4832728
Michigan,2018,189891,422533,1972855,1594947,657727,1239251,792642,6869846
Minnesota,2018,101742,151063,921287,791496,445513,920850,477278,3809229
Mississippi,2018,100599,187996,589363,440256,200375,284701,173993,1977283
Missouri,2018,119915,278462,1270247,937269,341000,754906,480988,4182787
Montana,2018,13375,31704,205496,180384,71397,152448,80957,735761
Nebraska,2018,47660,60686,326400,283318,137646,269675,141055,1266440
Nevada,2018,110045,164010,581662,542405,176618,339675,182159,2096574
New Hampshire,2018,23689,42821,269202,178227,99230,217282,140297,970748
New Jersey,2018,290326,317170,1629398,1018104,409253,1535321,989671,6189243
New Mexico,2018,84348,122340,370023,334577,113481,221735,169977,1416481
New York,2018,827890,929474,3546789,2083151,1193573,2846770,2244696,13672343
North Carolina,2018,305097,529783,1802360,1497087,701016,1454678,812123,7102144
North Dakota,2018,16988,21520,129495,109451,74715,110664,37946,500779
Ohio,2018,218264,528136,2625971,1638319,690735,1431014,894596,8027035
Oklahoma,2018,98813,202447,816934,613877,207381,434570,233591,2607613
Oregon,2018,106364,173561,655811,744593,269508,621190,381353,2952380
Pennsylvania,2018,279306,532792,3113998,1432404,773645,1723226,1139256,8994627
Rhode Island,2018,34642,45944,210606,133241,61601,147507,107154,740695
South Carolina,2018,125417,278074,1043630,701181,354718,627144,362191,3492355
South Dakota,2018,16315,28842,180511,115946,70838,117943,52455,582850
Tennessee,2018,206601,358348,1477132,975251,348066,801616,473809,4640823
Texas,2018,1478739,1485230,4627856,3949496,1334999,3627047,1973730,18477097
Utah,2018,47361,94721,423407,462160,191808,427561,224884,1871902
Vermont,2018,8286,20617,127349,78850,38133,103068,69521,445824
Virginia,2018,229799,358586,1398061,1091538,453566,1296041,994416,5822007
Washington,2018,179951,257533,1133822,1197203,533450,1187508,725596,5215063
West Virginia,2018,50504,106081,508339,246501,96253,163614,109489,1280781
Wisconsin,2018,108021,207198,1222475,817650,438602,775533,422543,3992022
Wyoming,2018,7237,19072,113351,103804,44089,66449,39134,393136
Alabama,2017,137386,309557,1029982,709100,278878,528019,316685,3309607
Alaska,2017,14246,25790,133132,126985,42724,86444,52240,481561
Arizona,2017,254700,350198,1136493,1178809,408070,863062,520030,4711362
Arkansas,2017,92735,174807,683285,443935,143522,301294,168820,2008398
California,2017,2459993,1989309,5541182,5641881,2070661,5616449,3359798,26679273
Colorado,2017,129351,190285,815595,798831,313309,994894,579803,3822068
Connecticut,2017,102064,137225,676911,411854,201193,533791,430816,2493854
Delaware,2017,23460,40091,218309,127966,51777,121442,90641,673686
Florida,2017,710891,1035042,4330040,2982278,1507434,2839500,1614992,15020177
Georgia,2017,313025,580411,1936501,1394047,540564,1311611,819867,6896026
Hawaii,2017,34495,42636,280494,204452,106987,216993,111687,997744
Idaho,2017,36681,65058,313029,291857,107505,202800,94858,1111788
Illinois,2017,424494,525386,2272174,1794526,692672,1829903,1167902,8707057
Indiana,2017,161138,343724,1450767,896138,394092,753268,436190,4435317
Iowa,2017,65578,100027,639230,440516,242738,406630,199190,2093909
Kansas,2017,66505,104758,490769,432206,167548,403542,239200,1904528
Kentucky,2017,164235,248251,997060,644270,241585,423916,299636,3018953
Louisiana,2017,152771,311048,1061526,666998,185409,482439,260086,3120277
Maine,2017,25574,49213,300716,184416,100214,193860,117747,971740
Maryland,2017,165505,254504,1020828,788808,285379,889090,763490,4167604
Massachusetts,2017,207140,235318,1163526,743218,360700,1146586,932085,4788573
Michigan,2017,192884,427082,1969839,1594025,649916,1201375,784189,6819310
Minnesota,2017,114437,147197,938908,788988,426760,888880,473246,3778416
Mississippi,2017,94490,211478,595611,431185,198080,265220,163277,1959341
Missouri,2017,129072,298467,1277505,912962,326430,743797,462042,4150275
Montana,2017,16155,34574,203141,170207,65772,157326,76491,723666
Nebraska,2017,48755,60668,331081,291423,128547,263330,135450,1259254
Nevada,2017,107354,165663,592846,518529,165508,340110,173170,2063180
New Hampshire,2017,18164,48396,268564,171011,97978,216750,137142,958005
New Jersey,2017,298109,330076,1696858,1014640,418148,1506899,969808,6234538
New Mexico,2017,80805,112760,370599,333280,117531,211995,164505,1391475
New York,2017,842286,1012659,3634065,2133828,1218132,2794920,2185242,13821132
North Carolina,2017,314734,539055,1800555,1487938,658224,1406739,783940,6991185
North Dakota,2017,13936,21087,130900,111306,66236,108045,44394,495904
Ohio,2017,218232,559456,2661209,1612818,698820,1381934,849416,7981885
Oklahoma,2017,104975,204039,804245,603902,208717,437243,223293,2586414
Oregon,2017,102453,159928,673810,730804,255783,609160,369257,2901195
Pennsylvania,2017,283386,560910,3134497,1416816,747997,1697397,1119839,8960842
Rhode Island,2017,37301,48991,220613,124664,58876,149699,96825,736969
South Carolina,2017,139309,295539,1016072,698438,330153,607024,357316,3443851
South Dakota,2017,16831,30795,176709,126282,62204,109803,51935,574559
Tennessee,2017,200536,359348,1488080,953734,332593,790840,463322,4588453
Texas,2017,1473004,1496019,4552676,3932201,1323957,3510311,1861178,18149346
Utah,2017,50122,93413,408078,469981,172999,416804,215638,1827035
Vermont,2017,9646,22774,127426,73895,37360,98774,69392,439267
Virginia,2017,240260,353117,1396487,1095931,456210,1270190,967026,5779221
Washington,2017,189334,254629,1128284,1203615,514987,1130392,680727,5101968
West Virginia,2017,58192,107069,526652,238487,90494,156378,102078,1279350
Wisconsin,2017,101506,200465,1214914,805492,433324,782676,419854,3958231
Wyoming,2017,7704,19649,114739,98171,40340,67312,39785,387700
Alabama,2016,157797,333897,1011236,711231,271030,506680,308842,3300713
Alaska,2016,10392,22585,133928,129650,40819,90861,50716,478951
Arizona,2016,265215,349224,1105497,1179736,390843,835779,500115,4626409
Arkansas,2016,100157,179465,681969,449709,133315,282608,163225,1990448
California,2016,2556147,2062516,5390935,5602398,2031775,5426164,3234306,26304241
Colorado,2016,128209,192377,822144,787366,322529,934273,558608,3745506
Connecticut,2016,100513,133422,678776,415150,186288,541369,412219,2467737
Delaware,2016,22347,48247,212474,122182,52228,121717,83352,662547
Florida,2016,762762,1092451,4249733,2961148,1429121,2675907,1532549,14703671
Georgia,2016,334607,588019,1884080,1394205,518208,1270275,796001,6785395
Hawaii,2016,36083,43580,277743,212677,104261,211850,104743,990937
Idaho,2016,34434,69695,302866,275485,104375,203363,97047,1087265
Illinois,2016,429910,536517,2250392,1823126,682989,1813840,1128445,8665219
Indiana,2016,164742,346757,1481882,900213,374136,716293,408553,4392576
Iowa,2016,66242,105856,649532,438173,234055,398242,194920,2087020
Kansas,2016,68491,110352,496294,438343,157030,390861,230565,1891936
Kentucky,2016,170725,257735,968299,640040,256369,419081,283260,2995509
Louisiana,2016,160929,325509,1059273,654115,187288,473299,254607,3115020
Maine,2016,25640,48498,318369,187940,94984,181434,109704,966569
Maryland,2016,166606,240623,1046470,779195,268485,860491,760638,4122508
Massachusetts,2016,212315,240370,1156496,734632,363356,1124295,896051,4727515
Michigan,2016,203405,444504,1978343,1598192,626128,1162737,747093,6760402
Minnesota,2016,111658,152230,937937,796712,429762,860125,436859,3725283
Mississippi,2016,94724,216010,603335,438995,177695,264865,161398,1957022
Missouri,2016,137315,292624,1265386,927795,325244,729511,443139,4121014
Montana,2016,13453,37785,206415,168223,66134,148944,71662,712616
Nebraska,2016,51410,61935,328348,281360,129795,261931,129041,1243820
Nevada,2016,122892,157641,585057,516903,156342,308547,163228,2010610
New Hampshire,2016,20623,47275,256245,179277,97488,213461,133217,947586
New Jersey,2016,317182,343494,1706073,1024289,400332,1460518,919284,6171172
New Mexico,2016,84515,118426,370508,323025,116674,215691,162542,1391381
New York,2016,865976,1002316,3574814,2150858,1191816,2749619,2118193,13653592
North Carolina,2016,319570,553627,1775886,1482131,654866,1345615,745490,6877185
North Dakota,2016,13827,23917,134178,109216,67554,107578,38745,495015
Ohio,2016,222209,568107,2639028,1630529,682507,1362205,817476,7922061
Oklahoma,2016,103252,209774,802529,603826,203590,432922,215743,2571636
Oregon,2016,106021,171461,655893,745532,244515,572508,362022,2857952
Pennsylvania,2016,289165,591181,3132444,1431231,730217,1676971,1070766,8921975
Rhode Island,2016,38405,45778,204045,135369,60183,151195,99070,734045
South Carolina,2016,148917,304737,981669,713098,317549,591086,331420,3388476
South Dakota,2016,18275,31736,163910,123619,65093,111002,52259,565894
Tennessee,2016,216289,374024,1465937,959498,328595,756055,426800,4527198
Texas,2016,1529632,1506376,4474711,3869300,1259574,3362678,1773009,17775280
Utah,2016,51995,95408,404605,472108,178193,381130,199805,1783244
Vermont,2016,11087,23483,128767,75872,40499,92871,66984,439563
Virginia,2016,247576,366738,1372836,1116669,438669,1241751,936934,5721173
Washington,2016,192181,266656,1111786,1178772,491450,1098509,657201,4996555
West Virginia,2016,57435,123866,512228,233677,95794,162243,106514,1291757
Wisconsin,2016,106804,210940,1222607,812391,420412,758503,401672,3933329
Wyoming,2016,5751,20940,114624,97961,45601,67845,38072,390794
Alabama,2015,158830,338052,1018063,707979,266452,504626,288250,3282252
Alaska,2015,12121,22495,128052,129326,38113,87869,51547,469523
Arizona,2015,271316,359657,1110871,1155555,382106,788933,468516,4536954
Arkansas,2015,105945,184126,678452,450886,135029,278975,154406,1987819
California,2015,2582757,2060753,5430081,5603279,1992703,5285754,3129936,26085263
Colorado,2015,135573,188280,796984,809037,301203,909032,531744,3671853
Connecticut,2015,104772,137496,678916,417520,187970,535933,412111,2474718
Delaware,2015,24692,47663,194810,130986,52556,117581,84348,652636
Florida,2015,750053,1031199,4201879,2935247,1383565,2620339,1471999,14394281
Georgia,2015,332116,593620,1879302,1382608,496008,1244449,755664,6683767
Hawaii,2015,39945,50050,267568,213206,105951,205033,104161,985914
Idaho,2015,39730,66804,292667,287585,102284,189566,87346,1065982
Illinois,2015,456567,535035,2314192,1804602,698002,1757697,1095843,8661938
Indiana,2015,164941,349195,1496775,900400,364142,697223,390897,4363573
Iowa,2015,66506,105159,664912,444608,236728,377035,179556,2074504
Kansas,2015,71948,111806,501278,446076,158308,384495,214568,1888479
Kentucky,2015,183951,260013,1002541,611050,235061,406865,289309,2988790
Louisiana,2015,159933,316837,1056533,654211,189683,470739,247319,3095255
Maine,2015,27176,52423,314332,184421,93335,187513,102040,961240
Maryland,2015,173874,251792,1029325,789382,266499,866352,725262,4102486
Massachusetts,2015,213496,245853,1184423,748705,362478,1086715,864974,4706644
Michigan,2015,201139,461761,1979472,1593413,622089,1145546,724927,6728347
Minnesota,2015,112193,155113,941170,794499,413953,847584,436423,3700935
Mississippi,2015,112812,209997,605790,438004,179135,253036,153563,1952337
Missouri,2015,145571,308053,1269953,915960,316815,706922,433938,4097212
Montana,2015,14391,31182,222399,161387,60796,144135,72039,706329
Nebraska,2015,47858,62768,331868,292746,125055,244556,127732,1232583
Nevada,2015,125701,157660,549151,512364,159610,304948,158733,1968167
New Hampshire,2015,18249,46392,267078,179983,91199,205513,128800,937214
New Jersey,2015,319454,355305,1757377,1024098,392077,1437307,880766,6166384
New Mexico,2015,92820,118788,369807,325356,106315,198116,166346,1377548
New York,2015,903295,1012572,3615023,2177053,1155067,2727078,2051385,13641473
North Carolina,2015,340573,568846,1785510,1452845,623813,1277412,713645,6762644
North Dakota,2015,18142,18826,135670,111721,64255,105625,37778,492017
Ohio,2015,233766,579508,2664823,1623927,679330,1329009,786107,7896470
Oklahoma,2015,108956,215702,808375,606070,188756,421765,208239,2557863
Oregon,2015,103304,176281,654930,722848,245431,566244,335423,2804461
Pennsylvania,2015,297088,620062,3174802,1423274,739478,1611499,1029524,8895727
Rhode Island,2015,40319,49725,204295,134773,62153,141131,97687,730083
South Carolina,2015,147012,306843,977099,685917,312720,575843,314398,3319832
South Dakota,2015,19422,30620,175958,119929,62294,110562,44323,563108
Tennessee,2015,237285,386520,1482137,915965,300500,719980,431100,4473487
Texas,2015,1559568,1511574,4425654,3816471,1204220,3266266,1689108,17472861
Utah,2015,49949,97817,421822,458040,159609,368302,186410,1741949
Vermont,2015,12303,24166,127127,75070,37916,97824,64248,438654
Virginia,2015,256445,373316,1399157,1127401,426955,1209217,892827,5685318
Washington,2015,191853,256378,1127649,1171141,471400,1059707,611186,4889314
West Virginia,2015,58050,124065,529290,244509,90019,152256,102158,1300347
Wisconsin,2015,116279,219265,1223628,835967,411400,742544,369914,3918997
Wyoming,2015,7773,22652,111830,102246,42212,67108,34926,388747
Alabama,2014,164748,333011,1028665,709158,256777,478058,286349,3256766
Alaska,2014,12625,20628,131987,131559,38086,85634,44630,465149
Arizona,2014,286007,332779,1079812,1138687,376649,765784,456508,4436226
Arkansas,2014,110814,177923,686786,448062,123871,272411,148547,1968414
California,2014,2555427,2038098,5360853,5560560,2002684,5120162,3016508,25654292
Colorado,2014,148162,190720,783816,792924,294629,862158,512054,3584463
Connecticut,2014,102610,142557,680274,421674,184589,527472,412642,2471818
Delaware,2014,21628,49039,199747,123261,50787,116931,78950,640343
Florida,2014,735213,1060480,4151300,2905454,1358245,2448663,1381841,14041196
Georgia,2014,352984,590904,1869967,1389410,462543,1199733,710867,6576408
Hawaii,2014,39436,41453,277667,211542,102149,200315,102024,974586
Idaho,2014,40558,62620,294862,288457,97174,175108,86414,1045193
Illinois,2014,451301,570565,2305681,1807750,670372,1737022,1096385,8639076
Indiana,2014,167710,333960,1488013,914635,367996,682893,387709,4342916
Iowa,2014,63410,98980,654890,441122,233906,383943,186483,2062734
Kansas,2014,73593,109291,498750,453519,153284,381292,211792,1881521
Kentucky,2014,195578,265461,1003583,614385,228473,386963,272738,2967181
Louisiana,2014,174289,328214,1033528,657995,165066,463860,237736,3060688
Maine,2014,29663,49751,310287,194499,93426,185890,95891,959407
Maryland,2014,167204,255410,1043926,776715,265874,841315,712369,4062813
Massachusetts,2014,230539,249308,1161032,730927,365816,1077993,838736,4654351
Michigan,2014,214925,462665,1980847,1576003,618746,1105362,721977,6680525
Minnesota,2014,108766,163742,943377,793963,404201,834094,424440,3672583
Mississippi,2014,113955,222019,585936,450012,167835,254250,156703,1950710
Missouri,2014,145466,308360,1279755,918431,304044,696669,424042,4076767
Montana,2014,15058,36344,213165,170233,57211,135401,68438,695850
Nebraska,2014,53249,65912,333560,283393,126818,247729,114040,1224701
Nevada,2014,117579,167990,540814,494809,154943,291473,151990,1919598
New Hampshire,2014,23781,49222,265993,174993,91285,201723,124307,931304
New Jersey,2014,316827,353099,1729723,1045432,391582,1415973,875295,6127931
New Mexico,2014,90947,126165,362284,321721,109771,206947,155987,1373822
New York,2014,902591,1027984,3599907,2177721,1163427,2651150,2016832,13539612
North Carolina,2014,335030,567696,1772285,1459970,614392,1239857,672707,6661937
North Dakota,2014,15778,21488,133393,112400,64475,94873,36443,478850
Ohio,2014,232917,603114,2666563,1603451,659197,1301747,790471,7857460
Oklahoma,2014,106853,215077,801435,609238,185914,405799,205569,2529885
Oregon,2014,115126,168320,666778,718634,231853,528064,318182,2746957
Pennsylvania,2014,308874,626094,3220327,1434926,700919,1554120,1013605,8858865
Rhode Island,2014,41609,61636,208366,133665,59701,131408,89486,725871
South Carolina,2014,148284,303682,989223,674243,288524,543917,313056,3260929
South Dakota,2014,18921,27453,170122,121974,62802,111108,43108,555488
Tennessee,2014,239689,389302,1473547,908129,296099,717801,400506,4425073
Texas,2014,1542434,1503261,4298854,3847197,1147113,3104847,1644182,17087888
Utah,2014,50703,95821,391862,467335,168810,353832,176371,1704734
Vermont,2014,12156,22891,134352,81955,34024,91472,61429,438279
Virginia,2014,268592,376397,1382376,1120719,408872,1173872,892467,5623295
Washington,2014,193566,264995,1090724,1170624,479799,1005685,579091,4784484
West Virginia,2014,64223,127823,532918,238727,84402,152434,95823,1296350
Wisconsin,2014,115028,221608,1244668,805935,402829,736544,371550,3898162
Wyoming,2014,8369,20473,106759,108417,41611,69557,33776,388962
Alabama,2013,158191,340457,1001134,710602,258110,476016,280937,3225447
Alaska,2013,14292,24385,129029,127054,38486,84038,45375,462659
Arizona,2013,276191,336013,1079149,1090066,374877,741982,446459,4344737
Arkansas,2013,108906,196532,691814,439502,119812,262755,141182,1960503
California,2013,2537411,2070596,5228893,5524197,1980401,4905468,2900266,25147232
Colorado,2013,130184,202200,761103,801294,291173,837913,490368,3514235
Connecticut,2013,110636,144354,673455,435307,184109,508487,408967,2465315
Delaware,2013,24762,48785,196726,123795,48277,108075,79310,629730
Florida,2013,727313,1079856,4042708,2842328,1300616,2409162,1325013,13726996
Georgia,2013,360044,579775,1850063,1372039,477132,1149847,683272,6472172
Hawaii,2013,37445,48920,263311,210920,100056,199229,100022,959903
Idaho,2013,44147,64799,281769,273724,93044,185216,84190,1026889
Illinois,2013,473719,571283,2321273,1812345,654943,1698605,1061497,8593665
Indiana,2013,176925,359121,1478163,918557,352907,655276,371943,4312892
Iowa,2013,64445,107868,670345,437630,226473,370188,171321,2048270
Kansas,2013,75099,111152,498426,460264,146088,374418,206998,1872445
Kentucky,2013,194327,275420,979031,613570,224279,392610,274416,2953653
Louisiana,2013,177123,336513,1019022,653162,164926,453347,230880,3034973
Maine,2013,28083,49678,322855,192438,91720,172498,96690,953962
Maryland,2013,165397,270675,1030851,795361,252612,814992,688813,4018701
Massachusetts,2013,225989,239096,1190870,738371,355093,1037415,817961,4604795
Michigan,2013,219352,483287,1971925,1589120,594224,1089029,698358,6645295
Minnesota,2013,112595,162110,955079,796489,386177,813237,403646,3629333
Mississippi,2013,121974,218520,591240,443330,162584,248488,144918,1931054
Missouri,2013,148190,309497,1276285,916378,305928,685991,405014,4047283
Montana,2013,15112,35369,200303,180310,58287,135518,64270,689169
Nebraska,2013,52968,65545,329595,290983,119325,238160,118632,1215208
Nevada,2013,112938,165020,532452,487858,152516,282283,139817,1872884
New Hampshire,2013,26481,40407,270826,179643,87766,202495,116950,924568
New Jersey,2013,332020,367045,1751336,1019529,390906,1374616,851253,6086705
New Mexico,2013,100692,113754,361553,320668,105811,204226,155142,1361846
New York,2013,907812,1025819,3594712,2159804,1157285,2589891,1983987,13419310
North Carolina,2013,357638,580965,1743595,1446198,574725,1211484,653505,6568110
North Dakota,2013,19005,20778,128539,108110,64445,93470,33468,467815
Ohio,2013,248098,608491,2668826,1599640,639633,1279678,760888,7805254
Oklahoma,2013,109610,223025,809792,587829,179720,402956,193505,2506437
Oregon,2013,111549,165757,655870,711540,228207,521031,310089,2704043
Pennsylvania,2013,313556,638172,3209801,1428581,692226,1540228,986946,8809510
Rhode Island,2013,44100,57643,191854,133377,59867,142598,90517,719956
South Carolina,2013,161339,298753,939047,680531,284604,529944,304598,3198816
South Dakota,2013,19302,27093,172701,122701,62856,104240,42066,550959
Tennessee,2013,245616,384935,1437758,928049,291304,681475,400898,4370035
Texas,2013,1520001,1497796,4207669,3765377,1090662,3044921,1547230,16673656
Utah,2013,48917,92365,382199,464153,159320,348502,174993,1670449
Vermont,2013,14046,23225,133439,73769,35878,93427,62390,436174
Virginia,2013,261041,385383,1380486,1118219,405760,1172309,838026,5561224
Washington,2013,187704,275893,1095589,1157020,449430,984473,555995,4706104
